nid,vram,func,words,call_sites,argc,stack_args,returns,leaf,sdk_calls,reaches,sdk_reexport
0xCB6030CF,0x02CDE8,func_0002CDE8,2,12,1,0,0,0,,,
0x4510ECA2,0x030260,func_00030260,4,12,2,0,0,0,,,
0xBFFBA174,0x031238,func_00031238,5,12,0,0,0,0,,,
0x08813E19,0x0370E4,func_000370E4,29,12,2,0,0,0,,,
0xC1F72EF5,0x048A78,func_00048A78,802,12,0,0,1,0,,Kernel_Library;ThreadManForUser;sceGe_user;sceLibFont,
0x2A501391,0x050C5C,func_00050C5C,26,12,2,0,0,0,,,
0xC57FD721,0x051640,func_00051640,11,12,0,0,1,0,,,
0x62FD685F,0x054C38,func_00054C38,165,12,2,0,0,0,,,
0xEA7396F6,0x0554F8,func_000554F8,10,12,0,0,1,0,,,
0xB63981BD,0x0558EC,func_000558EC,12,12,1,0,1,0,,,
0x5D9E6261,0x059A44,func_00059A44,14,12,1,0,1,1,,,
0xDA1BEA24,0x05D86C,func_0005D86C,42,12,2,0,1,1,,,
0x65B71542,0x05DEF8,func_0005DEF8,26,12,1,0,1,0,,,
0x58223517,0x05EA98,func_0005EA98,4,12,1,0,0,0,,,
0xAB8CF7CC,0x05EAA8,func_0005EAA8,4,12,1,0,0,0,,,
0xFE08B1FC,0x05EC60,func_0005EC60,4,12,1,0,0,0,,,
0xD83FB4E8,0x05F440,func_0005F440,16,12,2,0,1,0,,,
